Year	Fremont Bridge East Sidewalk	Fremont Bridge West Sidewalk
2.012769230769230717e+03	1.459400000000000000e+04	1.399000000000000000e+04
2.012788461538461434e+03	1.735800000000000000e+04	1.623200000000000000e+04
2.012807692307692378e+03	1.589200000000000000e+04	1.512600000000000000e+04
2.012826923076923094e+03	1.380200000000000000e+04	1.307200000000000000e+04
2.012846153846153811e+03	1.281600000000000000e+04	1.157200000000000000e+04
2.012865384615384528e+03	1.548200000000000000e+04	1.455000000000000000e+04
2.012884615384615472e+03	1.215400000000000000e+04	1.159800000000000000e+04
2.012903846153846189e+03	7.068000000000000000e+03	6.632000000000000000e+03
2.012923076923076906e+03	1.175000000000000000e+04	1.131800000000000000e+04
2.012942307692307622e+03	1.136400000000000000e+04	1.097600000000000000e+04
2.012961538461538566e+03	1.076800000000000000e+04	1.021400000000000000e+04
2.012980769230769283e+03	7.504000000000000000e+03	7.410000000000000000e+03
2.013000000000000000e+03	5.224000000000000000e+03	4.984000000000000000e+03
2.013019230769230717e+03	8.630000000000000000e+03	8.248000000000000000e+03
2.013038461538461434e+03	9.722000000000000000e+03	9.146000000000000000e+03
2.013057692307692378e+03	1.110000000000000000e+04	1.051600000000000000e+04
2.013076923076923094e+03	1.019200000000000000e+04	9.830000000000000000e+03
2.013096153846153811e+03	1.169600000000000000e+04	1.087800000000000000e+04
2.013115384615384528e+03	1.363200000000000000e+04	1.250600000000000000e+04
2.013134615384615472e+03	1.287600000000000000e+04	1.190400000000000000e+04
2.013153846153846189e+03	1.212600000000000000e+04	1.144000000000000000e+04
2.013173076923076906e+03	1.387400000000000000e+04	1.301400000000000000e+04
2.013192307692307622e+03	1.632200000000000000e+04	1.486800000000000000e+04
2.013211538461538566e+03	1.344800000000000000e+04	1.263000000000000000e+04
2.013230769230769283e+03	1.353600000000000000e+04	1.271000000000000000e+04
2.013250000000000000e+03	2.044000000000000000e+04	1.868800000000000000e+04
2.013269230769230717e+03	1.550200000000000000e+04	1.497000000000000000e+04
2.013288461538461434e+03	1.505200000000000000e+04	1.406000000000000000e+04
2.013307692307692378e+03	1.477400000000000000e+04	1.334400000000000000e+04
2.013326923076923094e+03	2.301200000000000000e+04	2.109200000000000000e+04
2.013346153846153811e+03	2.780800000000000000e+04	2.504000000000000000e+04
2.013365384615384528e+03	2.972600000000000000e+04	2.710200000000000000e+04
2.013384615384615472e+03	2.624000000000000000e+04	2.345000000000000000e+04
2.013403846153846189e+03	2.003600000000000000e+04	1.865000000000000000e+04
2.013423076923076906e+03	2.180200000000000000e+04	1.931600000000000000e+04
2.013442307692307622e+03	2.800600000000000000e+04	2.604600000000000000e+04
2.013461538461538566e+03	2.517800000000000000e+04	2.311600000000000000e+04
2.013480769230769283e+03	2.291800000000000000e+04	2.248400000000000000e+04
2.013500000000000000e+03	2.110400000000000000e+04	1.987600000000000000e+04
2.013519230769230717e+03	2.616400000000000000e+04	2.486000000000000000e+04
2.013538461538461434e+03	2.737200000000000000e+04	2.643600000000000000e+04
2.013557692307692378e+03	2.707800000000000000e+04	2.576000000000000000e+04
2.013576923076923094e+03	2.668400000000000000e+04	2.609400000000000000e+04
2.013596153846153811e+03	2.429400000000000000e+04	2.324800000000000000e+04
2.013615384615384528e+03	2.631400000000000000e+04	2.526600000000000000e+04
2.013634615384615472e+03	2.476600000000000000e+04	2.391600000000000000e+04
2.013653846153846189e+03	2.476200000000000000e+04	2.471400000000000000e+04
2.013673076923076906e+03	2.151600000000000000e+04	2.037800000000000000e+04
2.013692307692307622e+03	1.854000000000000000e+04	1.699600000000000000e+04
2.013711538461538566e+03	2.297000000000000000e+04	2.239400000000000000e+04
2.013730769230769283e+03	2.120000000000000000e+04	1.967600000000000000e+04
2.013750000000000000e+03	1.578200000000000000e+04	1.480600000000000000e+04
2.013769230769230717e+03	1.919400000000000000e+04	1.718400000000000000e+04
2.013788461538461434e+03	1.828400000000000000e+04	1.714000000000000000e+04
2.013807692307692378e+03	1.953400000000000000e+04	1.777800000000000000e+04
2.013826923076923094e+03	1.691000000000000000e+04	1.678400000000000000e+04
2.013846153846153811e+03	1.780200000000000000e+04	1.621800000000000000e+04
2.013865384615384528e+03	1.558400000000000000e+04	1.499400000000000000e+04
2.013884615384615472e+03	1.519000000000000000e+04	1.458000000000000000e+04
2.013903846153846189e+03	1.503600000000000000e+04	1.384600000000000000e+04
2.013923076923076906e+03	1.096000000000000000e+04	1.010600000000000000e+04
2.013942307692307622e+03	1.167200000000000000e+04	1.086400000000000000e+04
2.013961538461538566e+03	1.152000000000000000e+04	1.076200000000000000e+04
2.013980769230769283e+03	1.091000000000000000e+04	1.036400000000000000e+04
2.014000000000000000e+03	7.134000000000000000e+03	6.236000000000000000e+03
2.014019230769230717e+03	1.081000000000000000e+04	9.730000000000000000e+03
2.014038461538461434e+03	1.164000000000000000e+04	1.098400000000000000e+04
2.014057692307692378e+03	1.551000000000000000e+04	1.452600000000000000e+04
2.014076923076923094e+03	1.582000000000000000e+04	1.475200000000000000e+04
2.014096153846153811e+03	1.381800000000000000e+04	1.289600000000000000e+04
2.014115384615384528e+03	1.122200000000000000e+04	1.101600000000000000e+04
2.014134615384615472e+03	1.113800000000000000e+04	1.068000000000000000e+04
2.014153846153846189e+03	1.021800000000000000e+04	1.005800000000000000e+04
2.014173076923076906e+03	1.475800000000000000e+04	1.334200000000000000e+04
2.014192307692307622e+03	1.234400000000000000e+04	1.140800000000000000e+04
2.014211538461538566e+03	1.682000000000000000e+04	1.579400000000000000e+04
2.014230769230769283e+03	1.714800000000000000e+04	1.607800000000000000e+04
2.014250000000000000e+03	1.430000000000000000e+04	1.338400000000000000e+04
2.014269230769230717e+03	1.960200000000000000e+04	1.825000000000000000e+04
2.014288461538461434e+03	2.401400000000000000e+04	2.230600000000000000e+04
2.014307692307692378e+03	1.703200000000000000e+04	1.629800000000000000e+04
2.014326923076923094e+03	1.827400000000000000e+04	1.735000000000000000e+04
2.014346153846153811e+03	2.706400000000000000e+04	2.503600000000000000e+04
2.014365384615384528e+03	2.496600000000000000e+04	2.255200000000000000e+04
2.014384615384615472e+03	3.369400000000000000e+04	3.116000000000000000e+04
2.014403846153846189e+03	2.692800000000000000e+04	2.600000000000000000e+04
2.014423076923076906e+03	2.736800000000000000e+04	2.517800000000000000e+04
2.014442307692307622e+03	3.042400000000000000e+04	2.929200000000000000e+04
2.014461538461538566e+03	2.370200000000000000e+04	2.277200000000000000e+04
2.014480769230769283e+03	2.643000000000000000e+04	2.604600000000000000e+04
2.014500000000000000e+03	2.438800000000000000e+04	2.395400000000000000e+04
2.014519230769230717e+03	2.670400000000000000e+04	2.648000000000000000e+04
2.014538461538461434e+03	2.925200000000000000e+04	2.785200000000000000e+04
2.014557692307692378e+03	2.690200000000000000e+04	2.647000000000000000e+04
2.014576923076923094e+03	2.443400000000000000e+04	2.297200000000000000e+04
2.014596153846153811e+03	2.889000000000000000e+04	2.845200000000000000e+04
2.014615384615384528e+03	2.777800000000000000e+04	2.777200000000000000e+04
2.014634615384615472e+03	2.324400000000000000e+04	2.347400000000000000e+04
2.014653846153846189e+03	2.668600000000000000e+04	2.684800000000000000e+04
2.014673076923076906e+03	2.573600000000000000e+04	2.597600000000000000e+04
2.014692307692307622e+03	2.459000000000000000e+04	2.283200000000000000e+04
2.014711538461538566e+03	2.472400000000000000e+04	2.388600000000000000e+04
2.014730769230769283e+03	2.510000000000000000e+04	2.282200000000000000e+04
2.014750000000000000e+03	2.045200000000000000e+04	1.751600000000000000e+04
2.014769230769230717e+03	2.501200000000000000e+04	1.927000000000000000e+04
2.014788461538461434e+03	2.397000000000000000e+04	1.808600000000000000e+04
2.014807692307692378e+03	2.088000000000000000e+04	1.626200000000000000e+04
2.014826923076923094e+03	1.407400000000000000e+04	1.537400000000000000e+04
2.014846153846153811e+03	1.524600000000000000e+04	1.612000000000000000e+04
2.014865384615384528e+03	1.477000000000000000e+04	1.722400000000000000e+04
2.014884615384615472e+03	1.503800000000000000e+04	1.629600000000000000e+04
2.014903846153846189e+03	1.454000000000000000e+04	1.484000000000000000e+04
2.014923076923076906e+03	8.970000000000000000e+03	7.570000000000000000e+03
2.014942307692307622e+03	1.200200000000000000e+04	1.272200000000000000e+04
2.014961538461538566e+03	1.265600000000000000e+04	1.298800000000000000e+04
2.014980769230769283e+03	1.081400000000000000e+04	1.267600000000000000e+04
2.015000000000000000e+03	7.326000000000000000e+03	6.886000000000000000e+03
2.015019230769230717e+03	7.880000000000000000e+03	7.226000000000000000e+03
2.015038461538461434e+03	1.701400000000000000e+04	1.109400000000000000e+04
2.015057692307692378e+03	1.631600000000000000e+04	1.000800000000000000e+04
2.015076923076923094e+03	1.727000000000000000e+04	1.220800000000000000e+04
2.015096153846153811e+03	1.838800000000000000e+04	1.421600000000000000e+04
2.015115384615384528e+03	1.439600000000000000e+04	9.494000000000000000e+03
2.015134615384615472e+03	1.708400000000000000e+04	1.468600000000000000e+04
2.015153846153846189e+03	1.731200000000000000e+04	1.422000000000000000e+04
2.015173076923076906e+03	1.801600000000000000e+04	1.423800000000000000e+04
2.015192307692307622e+03	1.952200000000000000e+04	1.705000000000000000e+04
2.015211538461538566e+03	1.127200000000000000e+04	1.819800000000000000e+04
2.015230769230769283e+03	1.269000000000000000e+04	1.722200000000000000e+04
2.015250000000000000e+03	1.852600000000000000e+04	1.354200000000000000e+04
2.015269230769230717e+03	1.691200000000000000e+04	1.697400000000000000e+04
2.015288461538461434e+03	1.955400000000000000e+04	1.686200000000000000e+04
2.015307692307692378e+03	2.211400000000000000e+04	1.970800000000000000e+04
2.015326923076923094e+03	1.970200000000000000e+04	1.843000000000000000e+04
2.015346153846153811e+03	2.328800000000000000e+04	2.192000000000000000e+04
2.015365384615384528e+03	2.611000000000000000e+04	2.476000000000000000e+04
2.015384615384615472e+03	2.344600000000000000e+04	2.168600000000000000e+04
2.015403846153846189e+03	2.626800000000000000e+04	2.591000000000000000e+04
2.015423076923076906e+03	2.543600000000000000e+04	2.458600000000000000e+04
2.015442307692307622e+03	2.374600000000000000e+04	2.356800000000000000e+04
2.015461538461538566e+03	2.840800000000000000e+04	2.783000000000000000e+04
2.015480769230769283e+03	2.579200000000000000e+04	2.628200000000000000e+04
2.015500000000000000e+03	2.731200000000000000e+04	2.682400000000000000e+04
2.015519230769230717e+03	2.441400000000000000e+04	2.378400000000000000e+04
2.015538461538461434e+03	2.595400000000000000e+04	2.565200000000000000e+04
2.015557692307692378e+03	2.549000000000000000e+04	2.640000000000000000e+04
2.015576923076923094e+03	2.324600000000000000e+04	2.465800000000000000e+04
2.015596153846153811e+03	2.529200000000000000e+04	2.654600000000000000e+04
2.015615384615384528e+03	2.526600000000000000e+04	2.745400000000000000e+04
2.015634615384615472e+03	2.289200000000000000e+04	2.382000000000000000e+04
2.015653846153846189e+03	2.466600000000000000e+04	2.520000000000000000e+04
2.015673076923076906e+03	2.157800000000000000e+04	2.197600000000000000e+04
2.015692307692307622e+03	1.739400000000000000e+04	1.839400000000000000e+04
2.015711538461538566e+03	2.112000000000000000e+04	2.146400000000000000e+04
2.015730769230769283e+03	1.901200000000000000e+04	1.951200000000000000e+04
2.015750000000000000e+03	2.295600000000000000e+04	2.356800000000000000e+04
2.015769230769230717e+03	2.301200000000000000e+04	2.315800000000000000e+04
2.015788461538461434e+03	1.875400000000000000e+04	1.922800000000000000e+04
2.015807692307692378e+03	1.981800000000000000e+04	1.999000000000000000e+04
2.015826923076923094e+03	1.885800000000000000e+04	1.932400000000000000e+04
2.015846153846153811e+03	1.446000000000000000e+04	1.495400000000000000e+04
2.015865384615384528e+03	1.614600000000000000e+04	1.663800000000000000e+04
2.015884615384615472e+03	1.334200000000000000e+04	1.407800000000000000e+04
2.015903846153846189e+03	1.450800000000000000e+04	1.479600000000000000e+04
2.015923076923076906e+03	8.850000000000000000e+03	9.276000000000000000e+03
2.015942307692307622e+03	1.214200000000000000e+04	1.282200000000000000e+04
2.015961538461538566e+03	1.061400000000000000e+04	1.109000000000000000e+04
2.015980769230769283e+03	1.204000000000000000e+04	1.210600000000000000e+04
2.016000000000000000e+03	5.602000000000000000e+03	5.748000000000000000e+03
2.016019230769230717e+03	7.096000000000000000e+03	6.860000000000000000e+03
2.016038461538461434e+03	1.345600000000000000e+04	1.350800000000000000e+04
2.016057692307692378e+03	1.120000000000000000e+04	1.169800000000000000e+04
2.016076923076923094e+03	1.151600000000000000e+04	1.179000000000000000e+04
2.016096153846153811e+03	1.329800000000000000e+04	1.352200000000000000e+04
2.016115384615384528e+03	1.423200000000000000e+04	1.469600000000000000e+04
2.016134615384615472e+03	1.426600000000000000e+04	1.485800000000000000e+04
2.016153846153846189e+03	1.197400000000000000e+04	1.232800000000000000e+04
2.016173076923076906e+03	1.652000000000000000e+04	1.683000000000000000e+04
2.016192307692307622e+03	1.383400000000000000e+04	1.427000000000000000e+04
2.016211538461538566e+03	1.194600000000000000e+04	1.254400000000000000e+04
2.016230769230769283e+03	1.584400000000000000e+04	1.594400000000000000e+04
2.016250000000000000e+03	1.414400000000000000e+04	1.506800000000000000e+04
2.016269230769230717e+03	2.360800000000000000e+04	2.348600000000000000e+04
2.016288461538461434e+03	2.307600000000000000e+04	2.289200000000000000e+04
2.016307692307692378e+03	1.921200000000000000e+04	1.934600000000000000e+04
